order_id,product,quantity,unit_price,region,sales_rep,order_date,customer_id,total_amount
ORD-000001,Phone,9,458.27,South,Alice Johnson,2025-03-22,CUST-5241,4124.43
ORD-000002,Monitor,1,187.57,East,Diana Lee,2024-09-21,CUST-5863,187.57
ORD-000003,Camera,1,294.49,East,Diana Lee,2024-07-23,CUST-8116,294.49
ORD-000004,Headphones,4,319.81,Central,Grace Taylor,2025-05-24,CUST-2508,1279.24
ORD-000005,Phone,9,16.42,Central,Henry Davis,2025-05-05,CUST-8053,147.78000000000003
ORD-000006,Speakers,6,335.13,North,Alice Johnson,2024-12-01,CUST-8660,2010.78
ORD-000007,Keyboard,3,97.24,West,Eva Martinez,2025-01-09,CUST-3132,291.71999999999997
ORD-000008,Phone,1,480.92,North,Grace Taylor,2024-10-25,CUST-9816,480.92
ORD-000009,Camera,4,82.84,Central,Diana Lee,2024-07-30,CUST-6375,331.36
ORD-000010,Headphones,9,213.17,South,Diana Lee,2025-05-16,CUST-5675,1918.53
ORD-000011,Monitor,3,51.82,Central,Eva Martinez,2024-10-15,CUST-2413,155.46
ORD-000012,Camera,9,498.47,West,Diana Lee,2024-09-02,CUST-7162,4486.2300000000005
ORD-000013,Camera,7,256.08,Central,Diana Lee,2025-01-15,CUST-9065,1792.56
ORD-000014,Keyboard,4,301.74,West,Diana Lee,2024-09-13,CUST-8238,1206.96
ORD-000015,Tablet,3,42.87,West,Frank Wilson,2024-10-30,CUST-9080,128.60999999999999
ORD-000016,Headphones,5,377.48,West,Grace Taylor,2024-06-23,CUST-1314,1887.4
ORD-000017,Mouse,5,112.85,West,Bob Smith,2024-10-15,CUST-7373,564.25
ORD-000018,Camera,3,450.05,West,Grace Taylor,2025-02-06,CUST-4316,1350.15
ORD-000019,Tablet,9,110.52,South,Eva Martinez,2024-10-23,CUST-2087,994.68
ORD-000020,Mouse,4,103.44,North,Diana Lee,2024-11-06,CUST-9692,413.76
ORD-000021,Headphones,5,27.91,East,Grace Taylor,2024-07-29,CUST-9560,139.55
ORD-000022,Laptop,4,241.31,North,Frank Wilson,2025-02-28,CUST-2305,965.24
ORD-000023,Speakers,5,286.77,West,Henry Davis,2024-08-24,CUST-4731,1433.85
ORD-000024,Tablet,7,42.2,South,Eva Martinez,2025-03-28,CUST-4008,295.40000000000003
ORD-000025,Printer,9,390.01,Central,Charlie Brown,2025-05-11,CUST-1041,3510.09
ORD-000026,Laptop,7,232.11,South,Grace Taylor,2025-06-06,CUST-5934,1624.77
ORD-000027,Speakers,5,266.95,West,Charlie Brown,2024-12-09,CUST-4716,1334.75
ORD-000028,Keyboard,7,225.97,South,Diana Lee,2024-08-11,CUST-9391,1581.79
ORD-000029,Phone,5,206.37,South,Frank Wilson,2024-10-18,CUST-5232,1031.85
ORD-000030,Monitor,3,284.22,West,Frank Wilson,2025-03-07,CUST-9831,852.6600000000001
ORD-000031,Printer,7,86.07,South,Grace Taylor,2025-03-10,CUST-5876,602.49
ORD-000032,Keyboard,2,99.14,East,Eva Martinez,2025-01-07,CUST-9600,198.28
ORD-000033,Headphones,9,432.27,East,Eva Martinez,2024-06-12,CUST-8488,3890.43
ORD-000034,Keyboard,1,473.6,South,Frank Wilson,2025-04-29,CUST-8091,473.6
ORD-000035,Phone,6,192.92,Central,Eva Martinez,2024-12-16,CUST-5405,1157.52
ORD-000036,Headphones,7,142.66,West,Frank Wilson,2024-10-30,CUST-3903,998.62
ORD-000037,Printer,8,325.56,East,Grace Taylor,2025-01-15,CUST-8177,2604.48
ORD-000038,Phone,9,210.28,Central,Bob Smith,2024-10-14,CUST-4276,1892.52
ORD-000039,Mouse,2,22.44,South,Frank Wilson,2025-03-23,CUST-8046,44.88
ORD-000040,Monitor,2,86.51,Central,Charlie Brown,2024-12-13,CUST-6059,173.02
ORD-000041,Printer,5,360.83,North,Eva Martinez,2025-02-15,CUST-3349,1804.1499999999999
ORD-000042,Mouse,5,332.87,East,Frank Wilson,2025-04-16,CUST-7654,1664.35
ORD-000043,Speakers,6,23.28,South,Frank Wilson,2024-10-19,CUST-9469,139.68
ORD-000044,Printer,3,118.77,West,Grace Taylor,2025-03-05,CUST-8552,356.31
ORD-000045,Speakers,8,123.23,South,Eva Martinez,2024-12-04,CUST-5166,985.84
ORD-000046,Headphones,1,339.23,West,Bob Smith,2024-09-22,CUST-4915,339.23
ORD-000047,Mouse,6,19.66,South,Grace Taylor,2025-05-18,CUST-1840,117.96000000000001
ORD-000048,Monitor,4,61.01,Central,Bob Smith,2024-12-28,CUST-5605,244.04
