order_id,product,quantity,unit_price,region,sales_rep,order_date,customer_id,total_amount
ORD-000001,Phone,1,99.3,North,Charlie Brown,2024-08-09,CUST-8402,99.3
ORD-000002,Monitor,3,380.13,North,Eva Martinez,2024-12-14,CUST-7003,1140.3899999999999
ORD-000003,Camera,7,218.33,West,Grace Taylor,2025-05-29,CUST-9664,1528.3100000000002
ORD-000004,Headphones,4,111.89,East,Frank Wilson,2024-09-19,CUST-3993,447.56
ORD-000005,Phone,9,288.17,East,Charlie Brown,2025-05-23,CUST-6615,2593.53
ORD-000006,Speakers,3,25.34,North,Alice Johnson,2024-09-05,CUST-4960,76.02
ORD-000007,Keyboard,5,422.72,East,Eva Martinez,2024-10-06,CUST-7387,2113.6000000000004
ORD-000008,Phone,3,230.38,East,Bob Smith,2024-10-02,CUST-6153,691.14
ORD-000009,Camera,7,203.62,North,Grace Taylor,2025-03-07,CUST-6282,1425.3400000000001
ORD-000010,Headphones,5,464.06,East,Grace Taylor,2024-08-17,CUST-6681,2320.3
ORD-000011,Monitor,9,366.36,Central,Frank Wilson,2025-03-24,CUST-1423,3297.2400000000002
ORD-000012,Camera,7,170.0,South,Grace Taylor,2024-06-19,CUST-4417,1190.0
ORD-000013,Camera,2,289.52,South,Charlie Brown,2025-04-17,CUST-3243,579.04
ORD-000014,Keyboard,4,265.21,North,Alice Johnson,2025-03-26,CUST-5198,1060.84
ORD-000015,Tablet,9,480.97,West,Grace Taylor,2024-11-09,CUST-3878,4328.7300000000005
ORD-000016,Headphones,2,423.82,North,Grace Taylor,2024-11-25,CUST-3056,847.64
ORD-000017,Mouse,9,376.19,West,Bob Smith,2025-04-17,CUST-9499,3385.71
ORD-000018,Camera,5,274.45,South,Bob Smith,2025-01-22,CUST-4015,1372.25
ORD-000019,Tablet,2,297.51,North,Diana Lee,2025-02-12,CUST-3946,595.02
ORD-000020,Mouse,4,482.98,Central,Eva Martinez,2025-04-22,CUST-3180,1931.92
ORD-000021,Headphones,7,307.45,East,Charlie Brown,2025-06-04,CUST-7557,2152.15
ORD-000022,Laptop,8,145.24,West,Grace Taylor,2024-07-19,CUST-6380,1161.92
ORD-000023,Speakers,3,155.17,East,Henry Davis,2024-06-14,CUST-4652,465.51
ORD-000024,Tablet,1,90.98,East,Grace Taylor,2024-12-24,CUST-1755,90.98
ORD-000025,Printer,4,17.66,North,Alice Johnson,2025-01-06,CUST-6992,70.64
